Number, Restaurent Name, Trip Advisor URL, Visited?, Rating
111,Potbelly Sandwich Works,http://tripadvisor.com/Restaurant_Review-g29556-d951604-Reviews-Potbelly_Sandwich_Works-Ann_Arbor_Michigan.html,no,
112,Tios Mexican Cafe,http://tripadvisor.com/Restaurant_Review-g29556-d416816-Reviews-Tios_Mexican_Cafe-Ann_Arbor_Michigan.html,no,
113,Sweetwater Cafe's,http://tripadvisor.com/Restaurant_Review-g29556-d416874-Reviews-Sweetwater_Cafe_s-Ann_Arbor_Michigan.html,no,
114,Spencer,http://tripadvisor.com/Restaurant_Review-g29556-d9809950-Reviews-Spencer-Ann_Arbor_Michigan.html,no,
115,SIAM Square,http://tripadvisor.com/Restaurant_Review-g29556-d416831-Reviews-SIAM_Square-Ann_Arbor_Michigan.html,no,
116,TK Wu,http://tripadvisor.com/Restaurant_Review-g29556-d793006-Reviews-TK_Wu-Ann_Arbor_Michigan.html,no,
117,Applebee's,http://tripadvisor.com/Restaurant_Review-g29556-d416963-Reviews-Applebee_s-Ann_Arbor_Michigan.html,no,
118,Mezes Greek Grill,http://tripadvisor.com/Restaurant_Review-g29556-d7887265-Reviews-Mezes_Greek_Grill-Ann_Arbor_Michigan.html,no,
119,Bravo Cucina Italiana,http://tripadvisor.com/Restaurant_Review-g29556-d7330756-Reviews-Bravo_Cucina_Italiana-Ann_Arbor_Michigan.html,no,
120,Anthony's Gourmet Pizza,http://tripadvisor.com/Restaurant_Review-g29556-d416945-Reviews-Anthony_s_Gourmet_Pizza-Ann_Arbor_Michigan.html,no,
121,Earthen Jar,http://tripadvisor.com/Restaurant_Review-g29556-d416924-Reviews-Earthen_Jar-Ann_Arbor_Michigan.html,no,
122,Zola Bistro,http://tripadvisor.com/Restaurant_Review-g29556-d5021386-Reviews-Zola_Bistro-Ann_Arbor_Michigan.html,no,
123,P.F. Chang's,http://tripadvisor.com/Restaurant_Review-g29556-d7376335-Reviews-P_F_Chang_s-Ann_Arbor_Michigan.html,no,
124,Sadako,http://tripadvisor.com/Restaurant_Review-g29556-d1118496-Reviews-Sadako-Ann_Arbor_Michigan.html,no,
125,Dominick's,http://tripadvisor.com/Restaurant_Review-g29556-d510468-Reviews-Dominick_s-Ann_Arbor_Michigan.html,no,
126,Argiero's Italian Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416806-Reviews-Argiero_s_Italian_Restaurant-Ann_Arbor_Michigan.html,no,
127,Chili's Grill & Bar,http://tripadvisor.com/Restaurant_Review-g29556-d416954-Reviews-Chili_s_Grill_Bar-Ann_Arbor_Michigan.html,no,
128,Bruegger's,http://tripadvisor.com/Restaurant_Review-g29556-d4717292-Reviews-Bruegger_s-Ann_Arbor_Michigan.html,no,
129,Gourmet Garden,http://tripadvisor.com/Restaurant_Review-g29556-d416822-Reviews-Gourmet_Garden-Ann_Arbor_Michigan.html,no,
130,Bob Evans,http://tripadvisor.com/Restaurant_Review-g29556-d417058-Reviews-Bob_Evans-Ann_Arbor_Michigan.html,no,
131,Salads UP,http://tripadvisor.com/Restaurant_Review-g29556-d8759509-Reviews-Salads_UP-Ann_Arbor_Michigan.html,no,
132,Benny's Family Dining,http://tripadvisor.com/Restaurant_Review-g29556-d416927-Reviews-Benny_s_Family_Dining-Ann_Arbor_Michigan.html,no,
133,Evergreen Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416861-Reviews-Evergreen_Restaurant-Ann_Arbor_Michigan.html,no,
134,Sushi Town,http://tripadvisor.com/Restaurant_Review-g29556-d3717512-Reviews-Sushi_Town-Ann_Arbor_Michigan.html,no,
135,Graham's Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416953-Reviews-Graham_s_Restaurant-Ann_Arbor_Michigan.html,no,
136,Ali-Baba,http://tripadvisor.com/Restaurant_Review-g29556-d416855-Reviews-Ali_Baba-Ann_Arbor_Michigan.html,no,
137,Uptown Coney Island,http://tripadvisor.com/Restaurant_Review-g29556-d417099-Reviews-Uptown_Coney_Island-Ann_Arbor_Michigan.html,no,
138,Amer's Delicatessen,http://tripadvisor.com/Restaurant_Review-g29556-d416898-Reviews-Amer_s_Delicatessen-Ann_Arbor_Michigan.html,no,
139,Pizza Bob's,http://tripadvisor.com/Restaurant_Review-g29556-d416901-Reviews-Pizza_Bob_s-Ann_Arbor_Michigan.html,no,
140,Kosmo,http://tripadvisor.com/Restaurant_Review-g29556-d417055-Reviews-Kosmo-Ann_Arbor_Michigan.html,no,
